item_id	type	source_line	label	current_destination	history_destination	exact_snapshot
DHS-001	decision_canonical_section	32	Decision Log	DECISIONS.md current D01-D17 family	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-001	decision_log_row	35	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-002	decision_log_row	36	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-003	decision_log_row	37	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-004	decision_log_row	38	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-005	decision_log_row	39	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-006	decision_log_row	40	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-007	decision_log_row	41	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-008	decision_log_row	42	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-009	decision_log_row	43	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-010	decision_log_row	44	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-011	decision_log_row	45	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-012	decision_log_row	46	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
DLR-013	decision_log_row	47	|	DECISIONS.md current index or superseded index	documentation/decision-history.md	documentation/history/DECISIONS-pre-compaction-2026-08-13-2e14c91.md
